Votes,Score,English_Name,Favourites_count,Popularity_ranking
9380,4,One Piece,144490,27
4326,3,One Piece,144490,27
3104,2,One Piece,144490,27
8130,1,One Piece,144490,27
135878,10,Nanatsu no Taizai,,28
220289,9,Nanatsu no Taizai,,28
332964,8,Nanatsu no Taizai,,28
249258,7,Nanatsu no Taizai,,28
99350,6,Nanatsu no Taizai,,28
46408,5,Nanatsu no Taizai,,28
22581,4,Nanatsu no Taizai,,28
10753,3,Nanatsu no Taizai,,28
5817,2,Nanatsu no Taizai,,28
6268,1,Nanatsu no Taizai,,28
124699,10,Akame ga Kill!,,29
182638,9,Akame ga Kill!,,29
278864,8,Akame ga Kill!,,29
247803,7,Akame ga Kill!,,29
123808,6,Akame ga Kill!,,29
62618,5,Akame ga Kill!,,29
37036,4,Akame ga Kill!,,29
15998,3,Akame ga Kill!,,29
7949,2,Akame ga Kill!,,29
5356,1,Akame ga Kill!,,29
232061,10,Boku dake ga Inai Machi,,30
319229,9,Boku dake ga Inai Machi,,30
304828,8,Boku dake ga Inai Machi,,30
160772,7,Boku dake ga Inai Machi,,30
56210,6,Boku dake ga Inai Machi,,30
20805,5,Boku dake ga Inai Machi,,30
9915,4,Boku dake ga Inai Machi,,30
4231,3,Boku dake ga Inai Machi,,30
1824,2,Boku dake ga Inai Machi,,30
2211,1,Boku dake ga Inai Machi,,30
94791,10,Sword Art Online II,,31
116142,9,Sword Art Online II,,31
199382,8,Sword Art Online II,,31
263925,7,Sword Art Online II,,31
186781,6,Sword Art Online II,,31
118431,5,Sword Art Online II,,31
76594,4,Sword Art Online II,,31
41344,3,Sword Art Online II,,31
25311,2,Sword Art Online II,,31
19336,1,Sword Art Online II,,31
88154,10,Ao no Exorcist,,32
149968,9,Ao no Exorcist,,32
282757,8,Ao no Exorcist,,32
285355,7,Ao no Exorcist,,32
120331,6,Ao no Exorcist,,32
49494,5,Ao no Exorcist,,32
16449,4,Ao no Exorcist,,32
5475,3,Ao no Exorcist,,32
2206,2,Ao no Exorcist,,32
1748,1,Ao no Exorcist,,32
504901,10,Shingeki no Kyojin Season 3 Part 2,,33
369431,9,Shingeki no Kyojin Season 3 Part 2,,33
176503,8,Shingeki no Kyojin Season 3 Part 2,,33
54608,7,Shingeki no Kyojin Season 3 Part 2,,33
14000,6,Shingeki no Kyojin Season 3 Part 2,,33
4966,5,Shingeki no Kyojin Season 3 Part 2,,33
1920,4,Shingeki no Kyojin Season 3 Part 2,,33
957,3,Shingeki no Kyojin Season 3 Part 2,,33
707,2,Shingeki no Kyojin Season 3 Part 2,,33
7485,1,Shingeki no Kyojin Season 3 Part 2,,33
136450,10,Ansatsu Kyoushitsu,,34
221600,9,Ansatsu Kyoushitsu,,34
318024,8,Ansatsu Kyoushitsu,,34
181476,7,Ansatsu Kyoushitsu,,34
55707,6,Ansatsu Kyoushitsu,,34
21489,5,Ansatsu Kyoushitsu,,34
7782,4,Ansatsu Kyoushitsu,,34
2794,3,Ansatsu Kyoushitsu,,34
1337,2,Ansatsu Kyoushitsu,,34
1435,1,Ansatsu Kyoushitsu,,34
172244,10,Mob Psycho 100,,35
325309,9,Mob Psycho 100,,35
318656,8,Mob Psycho 100,,35
114273,7,Mob Psycho 100,,35
26297,6,Mob Psycho 100,,35
8994,5,Mob Psycho 100,,35
3191,4,Mob Psycho 100,,35
1193,3,Mob Psycho 100,,35
662,2,Mob Psycho 100,,35
1307,1,Mob Psycho 100,,35
157787,10,Kono Subarashii Sekai ni Shukufuku wo!,,36
261706,9,Kono Subarashii Sekai ni Shukufuku wo!,,36
342805,8,Kono Subarashii Sekai ni Shukufuku wo!,,36
178742,7,Kono Subarashii Sekai ni Shukufuku wo!,,36
56834,6,Kono Subarashii Sekai ni Shukufuku wo!,,36
21590,5,Kono Subarashii Sekai ni Shukufuku wo!,,36
8893,4,Kono Subarashii Sekai ni Shukufuku wo!,,36
3583,3,Kono Subarashii Sekai ni Shukufuku wo!,,36
2023,2,Kono Subarashii Sekai ni Shukufuku wo!,,36
2296,1,Kono Subarashii Sekai ni Shukufuku wo!,,36
209410,10,Haikyuu!!,,37
285357,9,Haikyuu!!,,37
294679,8,Haikyuu!!,,37
128918,7,Haikyuu!!,,37
33653,6,Haikyuu!!,,37
13415,5,Haikyuu!!,,37
4161,4,Haikyuu!!,,37
1654,3,Haikyuu!!,,37
1026,2,Haikyuu!!,,37
2204,1,Haikyuu!!,,37
249955,10,Jujutsu Kaisen (TV),58373,38
363098,9,Jujutsu Kaisen (TV),58373,38
258538,8,Jujutsu Kaisen (TV),58373,38
81626,7,Jujutsu Kaisen (TV),58373,38
19258,6,Jujutsu Kaisen (TV),58373,38
7008,5,Jujutsu Kaisen (TV),58373,38
2265,4,Jujutsu Kaisen (TV),58373,38
888,3,Jujutsu Kaisen (TV),58373,38
511,2,Jujutsu Kaisen (TV),58373,38
1813,1,Jujutsu Kaisen (TV),58373,38
216391,10,Yakusoku no Neverland,,39
347197,9,Yakusoku no Neverland,,39
295906,8,Yakusoku no Neverland,,39
105689,7,Yakusoku no Neverland,,39
26729,6,Yakusoku no Neverland,,39
9145,5,Yakusoku no Neverland,,39
3631,4,Yakusoku no Neverland,,39
1346,3,Yakusoku no Neverland,,39
664,2,Yakusoku no Neverland,,39
1476,1,Yakusoku no Neverland,,39
135494,10,Bleach,,40
158610,9,Bleach,,40
225892,8,Bleach,,40
203083,7,Bleach,,40
93097,6,Bleach,,40
47169,5,Bleach,,40
18998,4,Bleach,,40
7518,3,Bleach,,40
3446,2,Bleach,,40
3355,1,Bleach,,40
161955,10,Kiseijuu: Sei no Kakuritsu,,41
289357,9,Kiseijuu: Sei no Kakuritsu,,41
297767,8,Kiseijuu: Sei no Kakuritsu,,41
137786,7,Kiseijuu: Sei no Kakuritsu,,41
38604,6,Kiseijuu: Sei no Kakuritsu,,41
13417,5,Kiseijuu: Sei no Kakuritsu,,41
4729,4,Kiseijuu: Sei no Kakuritsu,,41
1591,3,Kiseijuu: Sei no Kakuritsu,,41
766,2,Kiseijuu: Sei no Kakuritsu,,41
1081,1,Kiseijuu: Sei no Kakuritsu,,41
144158,10,Fairy Tail,,42
143806,9,Fairy Tail,,42
189739,8,Fairy Tail,,42
182365,7,Fairy Tail,,42
102475,6,Fairy Tail,,42
63749,5,Fairy Tail,,42
33404,4,Fairy Tail,,42
16219,3,Fairy Tail,,42
9065,2,Fairy Tail,,42
8304,1,Fairy Tail,,42
381857,10,Sen to Chihiro no Kamikakushi,,43
307268,9,Sen to Chihiro no Kamikakushi,,43
226543,8,Sen to Chihiro no Kamikakushi,,43
96399,7,Sen to Chihiro no Kamikakushi,,43
28336,6,Sen to Chihiro no Kamikakushi,,43
9832,5,Sen to Chihiro no Kamikakushi,,43
3129,4,Sen to Chihiro no Kamikakushi,,43
1110,3,Sen to Chihiro no Kamikakushi,,43
630,2,Sen to Chihiro no Kamikakushi,,43
1425,1,Sen to Chihiro no Kamikakushi,,43
269327,10,Cowboy Bebop,,44
216383,9,Cowboy Bebop,,44
158827,8,Cowboy Bebop,,44
74948,7,Cowboy Bebop,,44
24649,6,Cowboy Bebop,,44
10548,5,Cowboy Bebop,,44
3789,4,Cowboy Bebop,,44
1595,3,Cowboy Bebop,,44
838,2,Cowboy Bebop,,44
1803,1,Cowboy Bebop,,44
116143,10,Tokyo Ghoul √A,9626,45
137547,9,Tokyo Ghoul √A,9626,45
201399,8,Tokyo Ghoul √A,9626,45
223322,7,Tokyo Ghoul √A,9626,45
142564,6,Tokyo Ghoul √A,9626,45
82827,5,Tokyo Ghoul √A,9626,45
59859,4,Tokyo Ghoul √A,9626,45
29144,3,Tokyo Ghoul √A,9626,45
16873,2,Tokyo Ghoul √A,9626,45
12621,1,Tokyo Ghoul √A,9626,45
416310,10,Code Geass: Hangyaku no Lelouch R2,,46
290076,9,Code Geass: Hangyaku no Lelouch R2,,46
173416,8,Code Geass: Hangyaku no Lelouch R2,,46
75577,7,Code Geass: Hangyaku no Lelouch R2,,46
26223,6,Code Geass: Hangyaku no Lelouch R2,,46
11202,5,Code Geass: Hangyaku no Lelouch R2,,46
6080,4,Code Geass: Hangyaku no Lelouch R2,,46
2844,3,Code Geass: Hangyaku no Lelouch R2,,46
1500,2,Code Geass: Hangyaku no Lelouch R2,,46
2647,1,Code Geass: Hangyaku no Lelouch R2,,46
119807,10,Kill la Kill,,47
195259,9,Kill la Kill,,47
243108,8,Kill la Kill,,47
154183,7,Kill la Kill,,47
60118,6,Kill la Kill,,47
25901,5,Kill la Kill,,47
12782,4,Kill la Kill,,47
4996,3,Kill la Kill,,47
2914,2,Kill la Kill,,47
2946,1,Kill la Kill,,47
125460,10,Death Parade,,48
221039,9,Death Parade,,48
267918,8,Death Parade,,48
147875,7,Death Parade,,48
48103,6,Death Parade,,48
17555,5,Death Parade,,48
6057,4,Death Parade,,48
1918,3,Death Parade,,48
887,2,Death Parade,,48
1013,1,Death Parade,,48
234605,10,Neon Genesis Evangelion,,49
210442,9,Neon Genesis Evangelion,,49
